ArraySize,Series,Attempt,Time,Passes,Swaps
16000,2,5,0.800081,8048,64121298
16000,2,6,0.790293,7998,64028389
16000,2,7,0.794589,7956,63881565
16000,2,8,0.795603,7998,63777484
16000,2,9,0.798647,8016,64285727
16000,2,10,0.789249,7984,63278138
16000,2,11,0.799006,8054,64117843
16000,2,12,0.791479,7976,63701562
16000,2,13,0.808556,8122,64131658
16000,2,14,0.807498,8052,64143192
16000,2,15,0.812867,8088,63900603
16000,2,16,0.801288,7942,63776998
16000,2,17,0.804187,8108,64403331
16000,2,18,0.790974,7942,63270766
16000,2,19,0.806172,8016,64071567
16000,2,20,0.798908,8056,64037604
16000,3,1,0.805848,8124,64270718
16000,3,2,0.794516,7946,63151154
16000,3,3,0.805286,7976,63872194
16000,3,4,0.798706,7984,63505811
16000,3,5,0.788121,7956,63813032
16000,3,6,0.787608,7952,63696579
16000,3,7,0.797503,8108,64306604
16000,3,8,0.7978,7922,63380974
16000,3,9,0.79734,8120,64418373
16000,3,10,0.79958,8088,64463200
16000,3,11,0.799833,8064,63937020
16000,3,12,0.800598,8002,63521070
16000,3,13,0.791325,8014,64030710
16000,3,14,0.80825,7994,63780248
16000,3,15,0.810413,8072,64305785
16000,3,16,0.802747,8058,64154948
16000,3,17,0.811199,8006,63887937
16000,3,18,0.80047,7992,64082339
16000,3,19,0.798082,8008,63955620
16000,3,20,0.800361,7914,63527234
16000,4,1,0.801666,8008,63896864
16000,4,2,0.79603,7892,63030522
16000,4,3,0.794824,7948,63316320
16000,4,4,0.802468,8000,64100529
16000,4,5,0.791865,8012,64120846
16000,4,6,0.801373,8038,63936025
16000,4,7,0.788314,8008,63841857
16000,4,8,0.796133,7962,63711844
16000,4,9,0.804307,8024,63971861
16000,4,10,0.799843,8072,64023851
16000,4,11,0.797352,8008,63782074
16000,4,12,0.796586,8014,63720931
16000,4,13,0.792178,7972,63656121
16000,4,14,0.813958,8042,64240755
16000,4,15,0.785897,7956,63681768
16000,4,16,0.817834,8088,63937421
16000,4,17,0.8058,8076,63857007
16000,4,18,0.808916,8046,63808348
16000,4,19,0.813231,7968,63933159
16000,4,20,0.809858,8050,63821687
16000,5,1,0.810784,8120,64311917
16000,5,2,0.810596,8002,63990047
16000,5,3,0.810225,7994,64011495
16000,5,4,0.808156,7996,63665792
16000,5,5,0.809394,7990,63918274
16000,5,6,0.795866,7918,63792212
16000,5,7,0.793537,8008,63718806
16000,5,8,0.81367,8104,64208819
16000,5,9,0.805622,7980,64193743
16000,5,10,0.805984,7996,63994933
16000,5,11,0.791475,7974,63330211
16000,5,12,0.790459,7990,64109712
16000,5,13,0.802533,8082,64650901
16000,5,14,0.791049,7982,64163164
16000,5,15,0.800432,8068,63795243
16000,5,16,0.806178,8028,64031808
16000,5,17,0.79881,8044,64379741
16000,5,18,0.805387,8026,64353379
16000,5,19,0.79816,7922,63811283
16000,5,20,0.802648,8078,64231688
16000,6,1,0.792249,8034,63480904
16000,6,2,0.785614,7884,63326446
16000,6,3,0.792563,7998,63998453
16000,6,4,0.802629,8036,64289592
16000,6,5,0.793607,8048,63991609
16000,6,6,0.79659,8022,64229292
16000,6,7,0.804851,7956,63476829
16000,6,8,0.799398,8086,64351593
16000,6,9,0.788081,7990,63590257
16000,6,10,0.800331,7990,63791222
16000,6,11,0.794009,8008,63778124
16000,6,12,0.796117,8022,63909762
